"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.71000003814697,0.03,5.30000019073486,1.4099999666214,4.35999990440905,4.34999990463257,0.00999999977648258,26.007999420166,0.624000012874603,6.57000017166138,0.370999991893768,0.245000004768372,5.80200004577637,0.751999974250793,10.1169996261597,0.813000023365021,0.39300000667572,0.310999989509583,15.8949995040894,14.1999998092651,0.456000000238419,1.01800000667572,0.0179999992251396,2.19199991226196,0.0209999997168779,5.38299989700317
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",6.19999980926514,1.27,4.5,1.70000004768372,6.8899998664856,5.15999984741211,1.73000001907349,30.0130004882812,0.535000026226044,11.2930002212524,0.38400000333786,0.384999990463257,3.29999995231628,0.730000019073486,7.81699991226196,0.883000016212463,0.254000008106232,0.328999996185303,9.47700023651123,5.15199995040894,0.190999999642372,0.907999992370606,0.0179999992251396,2.66100001335144,0.0260000005364418,3.30800008773804
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",6.05999994277954,-0.19,5.46999979019165,0.589999973773956,3.6399998664856,4.1399998664856,-0.5,27.6399993896484,0.577000021934509,5.17000007629395,0.377000004053116,0.202999994158745,6.27199983596802,0.725000023841858,12.6560001373291,0.888000011444092,0.430000007152557,0.323000013828278,6.4080001115799,8.22299957275391,0.301999986171722,1.16400003433228,0.0209999997168779,2.07800006866455,0.0209999997168779,3.32699990272522
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6.01000022888184,-0.2,4.32999992370605,1.67999994754791,4.33000004291534,3.6800000667572,0.649999976158142,25.8649997711182,0.672999978065491,1.97599995136261,0.268999993801117,0.116999998688698,11.0229997634888,0.78600001335144,12.2799997329712,0.626999974250793,0.617999970912933,0.326999992132187,17.4860000610352,8.72599983215332,0.319999992847443,1.35500001907349,0.0230000000447035,1.53400003910065,0.0149999996647239,5.01000022888184
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.42000007629395,0.73,5.59000015258789,-0.170000001788139,3.38999998569489,4.73000001907349,-1.3400000333786,29.863000869751,0.542999982833862,12.2410001754761,0.361000001430511,0.435000002384186,5.68499994277954,0.662999987602234,8.99400043487549,0.833000004291534,0.289000004529953,0.314000010490417,6.65299987792969,8.05700016021729,0.272000014781952,0.319000005722046,0.00999999977648258,2.10700011253357,0.0209999997168779,4.02799987792969
1641705,"San Antonio Spurs","Victor Wembanyama","Vet",5.15999984741211,0.23,2.34999990463257,2.80999994277954,6.22000002861023,3.01999998092651,3.20000004768372,27.8490009307861,0.563000023365021,9.0329999923706,0.34799998998642,0.335999995470047,7.625,0.755999982357025,10.5550003051758,0.829999983310699,0.368999987840652,0.32600000500679,17.4689996242523,4.60400009155273,0.150999993085861,4.25099992752075,0.0560000017285347,1.682000041008,0.017000000923872,4.10200023651123
1628369,"Boston Celtics","Jayson Tatum","Vet",5.03000020980835,-0.72,4.73000001907349,0.300000011920929,4.02000015974045,4.57000017166138,-0.550000011920929,28.9060001373291,0.519999980926514,12.58899974823,0.342000007629395,0.507000029087067,4.64099979400635,0.727999985218048,7.69799995422363,0.811999976634979,0.287999987602234,0.291999995708466,11.8539997339249,7.80900001525879,0.245000004768372,0.820999979972839,0.0160000007599592,1.59200000762939,0.0160000007599592,3.75699996948242
1630162,"Minnesota Timberwolves","Anthony Edwards","Vet",4.76000022888184,0.62,4.8899998664856,-0.129999995231628,4.33000017702579,4.57000017166138,-0.239999994635582,26.9370002746582,0.532999992370605,11.1560001373291,0.377000004053116,0.40200001001358,4.86299991607666,0.695999979972839,8.53299999237061,0.822000026702881,0.310999989509583,0.291999995708466,7.54499995708466,5.44700002670288,0.185000002384186,1.01400005817413,0.0199999995529652,1.77199995517731,0.017000000923872,3.44400000572205
1629029,"Los Angeles Lakers","Luka Doncic","Vet",4.21000003814697,-1.4,4.55000019073486,-0.330000013113022,1.85000002384186,3.44000005722046,-1.5900000333786,29.8430004119873,0.555000007152557,12.1599998474121,0.358999997377396,0.456999987363815,3.03600001335144,0.776000022888184,12.3620004653931,0.779999971389771,0.449999988079071,0.333999991416931,9.98900020122528,11.0830001831055,0.39300000667572,0.591000020503998,0.0140000004321337,2.07699990272522,0.0199999995529652,6.14900016784668
1631096,"Oklahoma City Thunder","Chet Holmgren","Vet",3.82999992370605,1.32,1.33000004291534,2.49000000953674,3.52999997138977,1.47000002861023,2.05999994277954,18.8959999084473,0.611000001430511,5.63700008392334,0.367000013589859,0.291999995708466,6.4980001449585,0.764999985694885,6.31799983978271,0.78600001335144,0.328999996185303,0.215000003576279,13.7669999599457,2.95499992370605,0.0869999974966049,4.05100011825562,0.0549999997019768,1.08599996566772,0.0109999999403954,2.49799990653992
