team,pick_year,round,expected_pick_number,protection_note
Philadelphia 76ers,2027,1,,1-4 Own; 5-30 to OKC if not already settled
Philadelphia 76ers,2027,2,,"To OKC if PHL has not conveyed 1st round pick to OKC by 2027; More favorable of GOS and PHX (via WAS); Most favorable of OKC, HOU, IND and MIA"
Philadelphia 76ers,2028,1,,"1-8 Own; complex swap conditions for 9-30 involving BRK, PHX, NYK, WAS; LAC"
Philadelphia 76ers,2028,2,,To BRK if PHL 1-8 in 2028; DET 56-60; GOS (via POR to WAS); MIL (via BRK to HOU to OKC); OKC
Philadelphia 76ers,2029,1,,Own or swap for LAC 4-30
Philadelphia 76ers,2029,2,,Own
Philadelphia 76ers,2030,1,,Own
Philadelphia 76ers,2030,2,,To DAL; More favorable of PHX and POR (via WAS); WAS
Philadelphia 76ers,2031,1,,Own
Philadelphia 76ers,2031,2,,Own
Philadelphia 76ers,2032,1,,Own
Philadelphia 76ers,2032,2,,Own or MEM (via MEM swap for PHL)
Phoenix Suns,2026,1,,"More favorable of PHX and WAS 1-8 to WAS; two most favorable of less favorable of PHX and WAS 1-8, MEM and ORL to MEM then least favorable of all to CHA"
Phoenix Suns,2026,2,,"To DAL (via WAS); Second most favorable of OKC, DAL and PHL (via OKC to HOU)"
Phoenix Suns,2027,1,,"To HOU (via BRK); Least favorable of UTH, CLE and MIN (via UTH)"
Phoenix Suns,2027,2,,More favorable of PHX and GOS to PHL then other to WAS (via WAS)
Phoenix Suns,2028,1,,"Least favorable of PHX, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, WAS and BRK (complex swap conditions — see original)"
Phoenix Suns,2028,2,,More favorable of PHX and IND to IND then other to NYK (via IND)
Phoenix Suns,2029,1,,"Two most favorable of PHX, DAL and HOU to HOU then other to BRK (via DAL and PHX to BRK; via HOU swap for DAL or PHX)"
Phoenix Suns,2029,2,,Own (via OKC to CHA)
Phoenix Suns,2030,1,,"Least favorable of PHX, WAS and MEM; more favorable of PHX and WAS to WAS; more favorable of MEM and less favorable of PHX and WAS to MEM (via WAS swap for PHX; via MEM swap for PHX or WAS)"
Phoenix Suns,2030,2,,More favorable of PHX and POR to PHL then other to WAS (via WAS)
Phoenix Suns,2031,1,,To MEM (via UTH)
Phoenix Suns,2031,2,,To CHA
Phoenix Suns,2032,1,,Frozen (through 2027-28)
Phoenix Suns,2032,2,,Less favorable of PHX and HOU then other to CHI (via PHX to MIN)
Portland Trail Blazers,2026,1,,1-14 Own; 15-30 to CHI
Portland Trail Blazers,2026,2,,"Most favorable of POR, NOP, MIN and NYK to CHI; less favorable of POR and NOP to SAN; less favorable of more favorable of POR and NOP and more favorable of MIN and NYK to WAS; MEM 43-60 (via UTH to GOS)"
Portland Trail Blazers,2027,1,,1-14 Own; 15-30 to CHI if not already settled
Portland Trail Blazers,2027,2,,Less favorable of POR and NOP then other to CHA; less favorable of POR and NOP to HOU if 56-60; MIN (via HOU to OKC to NYK)
Portland Trail Blazers,2028,1,,1-14 Own or swap for MIL; 15-30 to CHI if not already settled; ORL (via MEM)
Portland Trail Blazers,2028,2,,To CHI if POR has not conveyed 1st round pick to CHI by 2028; SAC (via CHI to SAC to MEM)
Portland Trail Blazers,2029,1,,"Most and least favorable of POR, BOS and MIL; second most favorable to WAS (via BOS to POR; via MIL to POR; via POR to WAS)"
Portland Trail Blazers,2029,2,,To MEM (via PHL to IND); Less favorable of IND and WAS (via IND to NYK)
Portland Trail Blazers,2030,1,,Own or swap for MIL
Portland Trail Blazers,2030,2,,More favorable of POR and PHX to PHL then other to WAS (via WAS)
Portland Trail Blazers,2031,1,,Own
Portland Trail Blazers,2031,2,,Own
Portland Trail Blazers,2032,1,,Own
Portland Trail Blazers,2032,2,,Own
Sacramento Kings,2026,1,,Own
Sacramento Kings,2026,2,,Own; CHA 31-55 (via NYK to ATL to SAN)
Sacramento Kings,2027,1,,Own; SAN 1-16
Sacramento Kings,2027,2,,To OKC if SAN 1-16 in 2027; CHA if SAN 17-30 in 2027 (via NYK to ATL to SAN)
Sacramento Kings,2028,1,,Own
Sacramento Kings,2028,2,,To POR (via CHI to SAC to MEM)
Sacramento Kings,2029,1,,Own
Sacramento Kings,2029,2,,To HOU (via WAS)
Sacramento Kings,2030,1,,Own
Sacramento Kings,2030,2,,To SAN (via IND)
Sacramento Kings,2031,1,,Own or SAN (via SAN swap for SAC); MIN (via SAN)
Sacramento Kings,2031,2,,To SAN
Sacramento Kings,2032,1,,Own
Sacramento Kings,2032,2,,Own
San Antonio Spurs,2026,1,,Own or swap for ATL [ATL may convey to CLE]
San Antonio Spurs,2026,2,,More favorable of SAN and less favorable of IND and MIA then least favorable of all to MIN; Less favorable of NOP and POR (via NOP to POR to NOP to SAN); UTH 31-55 (via MIN)
San Antonio Spurs,2027,1,,1-16 to SAC; 17-30 to OKC (via SAC); ATL
San Antonio Spurs,2027,2,,"More favorable of SAN and least favorable of OKC, HOU, IND and MIA then least favorable of all to MIA"
San Antonio Spurs,2028,1,,Own or swap for BOS 2-30
San Antonio Spurs,2028,2,,Own; BOS 31-45 if BOS 1 in 2028; MIN; NOP
San Antonio Spurs,2029,1,,Own
San Antonio Spurs,2029,2,,Own; LAC (via PHL); NOP
San Antonio Spurs,2030,1,,"Most / more favorable of SAN, DAL and MIN 2-30; less favorable of SAN and DAL to DAL; less favorable of MIN 2-30 and more favorable of SAN and DAL to MIN (via SAN swap for DAL; via SAN swap of SAN or DAL for MIN)"
San Antonio Spurs,2030,2,,Own; CLE; SAC (via IND)
San Antonio Spurs,2031,1,,Own or swap for SAC
San Antonio Spurs,2031,2,,Own; SAC
San Antonio Spurs,2032,1,,Own
San Antonio Spurs,2032,2,,Own
Toronto Raptors,2026,1,,Own
Toronto Raptors,2026,2,,31-55 Own; 56-60 to IND
Toronto Raptors,2027,1,,Own
Toronto Raptors,2027,2,,Own
Toronto Raptors,2028,1,,Own
Toronto Raptors,2028,2,,Own
Toronto Raptors,2029,1,,Own
Toronto Raptors,2029,2,,Own
Toronto Raptors,2030,1,,Own
Toronto Raptors,2030,2,,Own
Toronto Raptors,2031,1,,Own
Toronto Raptors,2031,2,,To NOP
Toronto Raptors,2032,1,,Own
Toronto Raptors,2032,2,,To BRK
Utah Jazz,2026,1,,"Most favorable of UTH 1-8, MIN and CLE; less favorable of UTH 1-8 and MIN to MIN; less favorable of CLE and more favorable of UTH 1-8 and MIN to CLE; UTH 9-30 to OKC (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE)"
Utah Jazz,2026,2,,31-55 to SAN; 56-60 to MIL (via MIN to SAN)
Utah Jazz,2027,1,,"Second most favorable of UTH, CLE and MIN; most favorable to MEM and least favorable to PHX (via UTH)"
Utah Jazz,2027,2,,To IND (via CLE); More favorable of BOS and ORL (via BOS to ORL to BOS); DEN (via CLE to CHI to BOS); LAC (via ATL to LAC)
Utah Jazz,2028,1,,Own or swap for CLE [CLE may convey UTH to ATL]
Utah Jazz,2028,2,,"To OKC; CLE; Least favorable of DET 31-55, less favorable of CHA and LAC, MIA if DAL conveys 1st round pick to CHA in 2027, and NYK (via DET)"
Utah Jazz,2029,1,,"Most / two most favorable of UTH, CLE and MIN 6-30 then other to CHA (via UTH to PHX)"
Utah Jazz,2029,2,,Own; MIN if MIN does not convey 1st round pick to UTH in 2029
Utah Jazz,2030,1,,Own
Utah Jazz,2030,2,,Less favorable of UTH and LAC then other to CHA (via LAC to UTH)
Utah Jazz,2031,1,,Own
Utah Jazz,2031,2,,Own; More favorable of BOS and CLE (via CLE to ATL to BOS)
Utah Jazz,2032,1,,Own
Utah Jazz,2032,2,,To WAS; CLE
Washington Wizards,2026,1,,"1-8 Own or swap for PHX; two most favorable of less favorable of WAS 1-8 and PHX, MEM and ORL to MEM then least favorable of all to CHA; WAS 9-30 to NYK (via HOU to OKC)"
Washington Wizards,2026,2,,"To NYK if WAS does not convey 1st round pick to NYK in 2026; Less favorable of more favorable of MIN and NYK and more favorable of NOP and POR; Least favorable of OKC, DAL and PHL (via OKC to MIA to SAN)"
Washington Wizards,2027,1,,Own
Washington Wizards,2027,2,,To NYK if WAS does not convey 1st round pick to NYK in 2026; More favorable of BRK and DAL (via DAL to BRK to DET; via DET to WAS); Less favorable of GOS and PHX
Washington Wizards,2028,1,,"More favorable of WAS and least / less favorable of BRK, PHL 9-30 and PHX; complex swap with MIL and POR (see original for full conditions)"
Washington Wizards,2028,2,,Less favorable of WAS and LAL then other to ORL (via WAS to LAL to ORL; via LAL to WAS); DEN 34-60 (via SAN to SAC)
Washington Wizards,2029,1,,"Own; Second most favorable of POR, BOS and MIL (via BOS to POR; via MIL to POR; via POR to WAS)"
Washington Wizards,2029,2,,More favorable of WAS and IND to IND then other to POR (via IND to NYK); LAL
Washington Wizards,2030,1,,More favorable of WAS and PHX; more favorable of MEM and less favorable of WAS and PHX to MEM then least favorable of all to PHX
Washington Wizards,2030,2,,To PHL; Less favorable of PHX and POR
Washington Wizards,2031,1,,Own
Washington Wizards,2031,2,,Own; More favorable of MIA and IND (via MIA swap for IND; via UTH)
Washington Wizards,2032,1,,Own
Washington Wizards,2032,2,,Own; UTH
