team,pick_year,round,expected_pick_number,protection_note
Chicago Bulls,2030,2,,Own
Chicago Bulls,2031,1,,Own
Chicago Bulls,2031,2,,Own; DEN (via PHX to CHA); More favorable of MIN and GOS (via MIN swap for GOS); NYK (via CHA)
Chicago Bulls,2032,1,,Own
Chicago Bulls,2032,2,,Own; More favorable of PHX and HOU (via PHX to MIN)
Cleveland Cavaliers,2026,1,,"Less favorable of (i) less favorable of CLE and more favorable of UTH 1-8 and MIN and (ii) less favorable of ATL and SAN then more favorable of (i) and (ii) to ATL; most favorable of CLE, MIN and UTH 1-8 to UTH (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL)"
Cleveland Cavaliers,2026,2,,To LAC
Cleveland Cavaliers,2027,1,,"Most favorable of CLE, MIN and UTH to MEM; second most favorable to UTH and least favorable to PHX (via UTH)"
Cleveland Cavaliers,2027,2,,To CHI (via ATL to MIN)
Cleveland Cavaliers,2028,1,,"Least favorable of CLE, UTH and ATL; more favorable of CLE and UTH to UTH; more favorable of ATL and less favorable of CLE and UTH to ATL (via UTH swap for CLE; via ATL swap for CLE or UTH)"
Cleveland Cavaliers,2028,2,,To UTH
Cleveland Cavaliers,2029,1,,"Most / two most favorable of CLE, MIN 6-30 and UTH to UTH then other to CHA (via UTH to PHX)"
Cleveland Cavaliers,2029,2,,To ATL
Cleveland Cavaliers,2030,1,,Own
Cleveland Cavaliers,2030,2,,To SAN
Cleveland Cavaliers,2031,1,,Own
Cleveland Cavaliers,2031,2,,More favorable of CLE and BOS to UTH then other to BOS (via CLE to ATL to BOS)
Cleveland Cavaliers,2032,1,,Own
Cleveland Cavaliers,2032,2,,To UTH
Dallas Mavericks,2026,1,,"Own; Least / less favorable of OKC, HOU 5-30 and LAC (via OKC to PHL to WAS)"
Dallas Mavericks,2026,2,,"Most favorable of DAL, OKC and PHL to OKC; second most favorable to PHX and least favorable to WAS (via OKC to HOU to PHX; via OKC to MIA to SAN to WAS); PHX (via WAS)"
Dallas Mavericks,2027,1,,1-2 Own; 3-30 to CHA
Dallas Mavericks,2027,2,,More favorable of DAL and BRK to WAS then other to DET (via DET to WAS; via DAL to BRK to DET); CHI (via WAS to NOP to WAS)
Dallas Mavericks,2028,1,,Own or OKC (via OKC swap for DAL)
Dallas Mavericks,2028,2,,To LAC (via SAC to IND)
Dallas Mavericks,2029,1,,"Two most favorable of DAL, HOU and PHX to HOU then other to BRK (via DAL and PHX to BRK; via DAL or PHX to HOU); LAL"
Dallas Mavericks,2029,2,,To BRK; HOU (via OKC to WAS)
Dallas Mavericks,2030,1,,Own or SAN (via SAN swap for DAL); less favorable of MIN 2-30 and more favorable of DAL and SAN to MIN then most / more favorable of all to SAN; GOS 21-30 (via WAS)
Dallas Mavericks,2030,2,,To BRK (via BOS to MEM); GOS if GOS does not convey 1st round pick to DAL in 2030; PHL
Dallas Mavericks,2031,1,,Own
Dallas Mavericks,2031,2,,To DET (via PHL)
Dallas Mavericks,2032,1,,Own
Dallas Mavericks,2032,2,,Own
Denver Nuggets,2026,1,,Own
