team,pick_year,round,expected_pick_number,protection_note,strength_rank,ev_points,years_out,discount_factor,pv_ev_points
Brooklyn Nets,2032,1,4,Own; DEN,4,66.0,6,0.5644739300537772,37.25527938354929
Brooklyn Nets,2032,2,34,Own; DEN; MIA; TOR,4,16.5,6,0.5644739300537772,9.313819845887323
Charlotte Hornets,2026,1,11,"Own; Least favorable of PHX, WAS 1-8, ORL and MEM (via WAS swap for PHX; via MEM swap for PHX, WAS or ORL; via PHX to CHA)",11,38.82352941176471,0,1.0,38.82352941176471
Charlotte Hornets,2026,2,41,31-55 to SAC; 56-60 to DET (via NYK to ATL to SAN to SAC); More favorable of DEN and GOS (via DEN to PHX; via GOS to ATL to OKC to NYK),11,14.042553191489363,0,1.0,14.042553191489363
Charlotte Hornets,2027,1,11,Own; DAL 3-30; MIA 15-30,11,38.82352941176471,1,0.9090909090909091,35.294117647058826
Charlotte Hornets,2027,2,41,To OKC if SAN 1-16 in 2027 or to SAC if SAN 17-30 in 2027; Less favorable of BOS and ORL; More favorable of POR and NOP (via POR),11,14.042553191489363,1,0.9090909090909091,12.76595744680851
Charlotte Hornets,2028,1,11,Own; MIA if not already settled,11,38.82352941176471,2,0.8264462809917354,32.0855614973262
Charlotte Hornets,2028,2,41,More favorable of CHA and LAC then other to DET; MIA if DAL does not convey 1st round pick to CHA in 2027; ORL,11,14.042553191489363,2,0.8264462809917354,11.60541586073501
Charlotte Hornets,2029,1,11,"Own; Least / less favorable of UTH, CLE and MIN 6-30 (via UTH to PHX)",11,38.82352941176471,3,0.7513148009015775,29.168692270296543
Charlotte Hornets,2029,2,41,Own; DEN if DEN has conveyed a first potential 1st round pick to OKC by 2029; More favorable of ATL and MIA (via OKC),11,14.042553191489363,3,0.7513148009015775,10.550378055213644
Charlotte Hornets,2030,1,11,Own,11,38.82352941176471,4,0.6830134553650705,26.51699297299686
Charlotte Hornets,2030,2,41,31-55 Own; 56-60 to BOS; More favorable of UTH and LAC (via UTH),11,14.042553191489363,4,0.6830134553650705,9.591252777466948
Charlotte Hornets,2031,1,11,Own,11,38.82352941176471,5,0.6209213230591549,24.10635724817896
Charlotte Hornets,2031,2,41,Own; MIL; PHX,11,14.042553191489363,5,0.6209213230591549,8.719320706788134
Charlotte Hornets,2032,1,11,Own,11,38.82352941176471,6,0.5644739300537772,21.914870225617236
Charlotte Hornets,2032,2,41,Own; MIL,11,14.042553191489363,6,0.5644739300537772,7.926655187989213
Chicago Bulls,2026,1,9,Own; POR 15-30,9,44.0,0,1.0,44.0
Chicago Bulls,2026,2,39,"To HOU (via WAS); Less favorable of DEN and GOS (via DEN to PHX to CHA; via GOS to ATL to OKC to NYK to CHA; via CHA to PHX to MIN to CHI); Most favorable of MIN, NYK, NOP and POR (via MIN to NYK; via NOP to POR to NOP; via POR to DET to BOS to CHI)",9,14.666666666666666,0,1.0,14.666666666666666
Chicago Bulls,2027,1,9,Own; POR 15-30 if not already settled,9,44.0,1,0.9090909090909091,40.0
Chicago Bulls,2027,2,39,To DAL (via WAS to NOP to WAS); CLE (via ATL to MIN),9,14.666666666666666,1,0.9090909090909091,13.333333333333332
Chicago Bulls,2028,1,9,Own; POR 15-30 if not already settled,9,44.0,2,0.8264462809917354,36.36363636363636
Chicago Bulls,2028,2,39,Own; POR if POR has not conveyed 1st round pick to CHI by 2028,9,14.666666666666666,2,0.8264462809917354,12.12121212121212
Chicago Bulls,2029,1,9,Own,9,44.0,3,0.7513148009015775,33.05785123966941
Chicago Bulls,2029,2,39,"Own; Least favorable of DET, MIL and NYK (via MIL to BRK to DET; via NYK to DET; via SAC to CHI)",9,14.666666666666666,3,0.7513148009015775,11.01928374655647
Chicago Bulls,2030,1,9,Own,9,44.0,4,0.6830134553650705,30.052592036063103
Chicago Bulls,2030,2,39,Own,9,14.666666666666666,4,0.6830134553650705,10.0175306786877
Chicago Bulls,2031,1,9,Own,9,44.0,5,0.6209213230591549,27.320538214602816
Chicago Bulls,2031,2,39,Own; DEN (via PHX to CHA); More favorable of MIN and GOS (via MIN swap for GOS); NYK (via CHA),9,14.666666666666666,5,0.6209213230591549,9.106846071534273
Chicago Bulls,2032,1,9,Own,9,44.0,6,0.5644739300537772,24.836852922366198
Chicago Bulls,2032,2,39,Own; More favorable of PHX and HOU (via PHX to MIN),9,14.666666666666666,6,0.5644739300537772,8.278950974122065
Cleveland Cavaliers,2026,1,28,"Less favorable of (i) less favorable of CLE and more favorable of UTH 1-8 and MIN and (ii) less favorable of ATL and SAN then more favorable of (i) and (ii) to ATL; most favorable of CLE, MIN and UTH 1-8 to UTH (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL)",28,19.41176470588235,0,1.0,19.41176470588235
Cleveland Cavaliers,2026,2,58,To LAC,28,10.3125,0,1.0,10.3125
Cleveland Cavaliers,2027,1,28,"Most favorable of CLE, MIN and UTH to MEM; second most favorable to UTH and least favorable to PHX (via UTH)",28,19.41176470588235,1,0.9090909090909091,17.64705882352941
Cleveland Cavaliers,2027,2,58,To CHI (via ATL to MIN),28,10.3125,1,0.9090909090909091,9.375
Cleveland Cavaliers,2028,1,28,"Least favorable of CLE, UTH and ATL; more favorable of CLE and UTH to UTH; more favorable of ATL and less favorable of CLE and UTH to ATL (via UTH swap for CLE; via ATL swap for CLE or UTH)",28,19.41176470588235,2,0.8264462809917354,16.042780748663098
Cleveland Cavaliers,2028,2,58,To UTH,28,10.3125,2,0.8264462809917354,8.522727272727272
Cleveland Cavaliers,2029,1,28,"Most / two most favorable of CLE, MIN 6-30 and UTH to UTH then other to CHA (via UTH to PHX)",28,19.41176470588235,3,0.7513148009015775,14.58434613514827
Cleveland Cavaliers,2029,2,58,To ATL,28,10.3125,3,0.7513148009015775,7.7479338842975185
Cleveland Cavaliers,2030,1,28,Own,28,19.41176470588235,4,0.6830134553650705,13.258496486498426
Cleveland Cavaliers,2030,2,58,To SAN,28,10.3125,4,0.6830134553650705,7.04357625845229
Cleveland Cavaliers,2031,1,28,Own,28,19.41176470588235,5,0.6209213230591549,12.053178624089478
Cleveland Cavaliers,2031,2,58,More favorable of CLE and BOS to UTH then other to BOS (via CLE to ATL to BOS),28,10.3125,5,0.6209213230591549,6.403251144047535
Cleveland Cavaliers,2032,1,28,Own,28,19.41176470588235,6,0.5644739300537772,10.957435112808616
Cleveland Cavaliers,2032,2,58,To UTH,28,10.3125,6,0.5644739300537772,5.821137403679578
Dallas Mavericks,2026,1,6,"Own; Least / less favorable of OKC, HOU 5-30 and LAC (via OKC to PHL to WAS)",6,55.0,0,1.0,55.0
Dallas Mavericks,2026,2,36,"Most favorable of DAL, OKC and PHL to OKC; second most favorable to PHX and least favorable to WAS (via OKC to HOU to PHX; via OKC to MIA to SAN to WAS); PHX (via WAS)",6,15.714285714285714,0,1.0,15.714285714285714
Dallas Mavericks,2027,1,6,1-2 Own; 3-30 to CHA,6,55.0,1,0.9090909090909091,50.0
Dallas Mavericks,2027,2,36,More favorable of DAL and BRK to WAS then other to DET (via DET to WAS; via DAL to BRK to DET); CHI (via WAS to NOP to WAS),6,15.714285714285714,1,0.9090909090909091,14.285714285714285
Dallas Mavericks,2028,1,6,Own or OKC (via OKC swap for DAL),6,55.0,2,0.8264462809917354,45.45454545454545
Dallas Mavericks,2028,2,36,To LAC (via SAC to IND),6,15.714285714285714,2,0.8264462809917354,12.987012987012985
Dallas Mavericks,2029,1,6,"Two most favorable of DAL, HOU and PHX to HOU then other to BRK (via DAL and PHX to BRK; via DAL or PHX to HOU); LAL",6,55.0,3,0.7513148009015775,41.322314049586765
Dallas Mavericks,2029,2,36,To BRK; HOU (via OKC to WAS),6,15.714285714285714,3,0.7513148009015775,11.806375442739075
Dallas Mavericks,2030,1,6,Own or SAN (via SAN swap for DAL); less favorable of MIN 2-30 and more favorable of DAL and SAN to MIN then most / more favorable of all to SAN; GOS 21-30 (via WAS),6,55.0,4,0.6830134553650705,37.565740045078876
Dallas Mavericks,2030,2,36,To BRK (via BOS to MEM); GOS if GOS does not convey 1st round pick to DAL in 2030; PHL,6,15.714285714285714,4,0.6830134553650705,10.733068584308251
Dallas Mavericks,2031,1,6,Own,6,55.0,5,0.6209213230591549,34.15067276825352
Dallas Mavericks,2031,2,36,To DET (via PHL),6,15.714285714285714,5,0.6209213230591549,9.757335076643862
Dallas Mavericks,2032,1,6,Own,6,55.0,6,0.5644739300537772,31.046066152957746
